case,b,L,phi,exact,approx_fit,approx_theory
b1e4,10000.0,16384,0.4625,0.6539433678601563,0.6541146285601975,0.6540293142237412
b1e4,10000.0,16384,0.465625,0.6554693176984878,0.6555978756936177,0.6555123178375303
b1e4,10000.0,16384,0.46875,0.6569713727387461,0.6570811228270378,0.6569953214513192
b1e4,10000.0,16384,0.47187500000000004,0.658433833695129,0.658564369960458,0.6584783250651083
b1e4,10000.0,16384,0.47500000000000003,0.6598662115720049,0.660047617093878,0.6599613286788972
b1e4,10000.0,16384,0.478125,0.6613279798566452,0.6615308642272981,0.6614443322926863
b1e4,10000.0,16384,0.48125,0.662919873520408,0.6630141113607183,0.6629273359064752
b1e4,10000.0,16384,0.484375,0.6645515115281491,0.6644973584941384,0.6644103395202643
b1e4,10000.0,16384,0.48750000000000004,0.6658866832476771,0.6659806056275586,0.6658933431340532
b1e4,10000.0,16384,0.49062500000000003,0.6672683594678852,0.6674638527609786,0.6673763467478423
b1e4,10000.0,16384,0.49375,0.6690133695542821,0.6689470998943987,0.6688593503616312
b1e4,10000.0,16384,0.496875,0.6702119994954727,0.6704303470278189,0.6703423539754203
b1e4,10000.0,16384,0.5,0.6719585306203854,0.671913594161239,0.6718253575892092
b1e4,10000.0,16384,0.503125,0.6731705704321632,0.6733968412946592,0.6733083612029983
b1e4,10000.0,16384,0.50625,0.6749616766099882,0.6748800884280792,0.6747913648167873
b1e4,10000.0,16384,0.509375,0.6761323458199492,0.6763633355614993,0.6762743684305763
b1e4,10000.0,16384,0.5125000000000001,0.6777837113109024,0.6778465826949195,0.6777573720443653
b1e4,10000.0,16384,0.515625,0.6793982280624626,0.6793298298283396,0.6792403756581542
b1e4,10000.0,16384,0.51875,0.6805989043895724,0.6808130769617597,0.6807233792719433
b1e4,10000.0,16384,0.521875,0.6820657309757,0.6822963240951798,0.6822063828857322
b1e4,10000.0,16384,0.525,0.6837823847116355,0.6837795712286,0.6836893864995213
b1e4,10000.0,16384,0.5281250000000001,0.6853791896451847,0.6852628183620202,0.6851723901133102
b1e4,10000.0,16384,0.53125,0.6867896526383559,0.6867460654954403,0.6866553937270993
b1e4,10000.0,16384,0.534375,0.6881386237584842,0.6882293126288603,0.6881383973408883
b1e4,10000.0,16384,0.5375,0.689517016013815,0.6897125597622804,0.6896214009546773
b1e4,10000.0,16384,0.540625,0.6909426769222775,0.6911958068957006,0.6911044045684662
b1e4,10000.0,16384,0.5437500000000001,0.6924035198440008,0.6926790540291208,0.6925874081822553
b1e4,10000.0,16384,0.546875,0.6938916977392383,0.6941623011625409,0.6940704117960443
b1e4,10000.0,16384,0.55,0.6954151994537308,0.6956455482959609,0.6955534154098333
b1e4,10000.0,16384,0.553125,0.6969922401905705,0.697128795429381,0.6970364190236222
b1e4,10000.0,16384,0.55625,0.6986247013837983,0.6986120425628012,0.6985194226374113
b1e4,10000.0,16384,0.5593750000000001,0.7002518926521004,0.7000952896962214,0.7000024262512003
b1e4,10000.0,16384,0.5625,0.7017351450970513,0.7015785368296414,0.7014854298649893
