ratio_L_over_b,L,p,C_geo,C_hybrid,delta_C_hybrid_minus_geo
10.0,100000,0.29292929292929293,0.08117041477400273,0.06729798807716225,-0.013872426696840481
10.0,100000,0.30303030303030304,0.08369635469400578,0.06934869002894609,-0.014347664665059698
10.0,100000,0.31313131313131315,0.08622229461400883,0.0713993919807299,-0.014822902633278928
10.0,100000,0.32323232323232326,0.08874823453401189,0.07345009393251374,-0.015298140601498145
10.0,100000,0.33333333333333337,0.09127417445401494,0.07550079588429758,-0.01577337856971736
10.0,100000,0.3434343434343435,0.09380011437401799,0.07755149783608141,-0.016248616537936578
10.0,100000,0.3535353535353536,0.09632605429402102,0.07960219978786524,-0.01672385450615578
10.0,100000,0.36363636363636365,0.09885199421402406,0.08165290173964906,-0.017199092474374997
10.0,100000,0.37373737373737376,0.10137793413402711,0.0837036036914329,-0.017674330442594213
10.0,100000,0.38383838383838387,0.10390387405403016,0.08575430564321673,-0.01814956841081343
10.0,100000,0.393939393939394,0.10642981397403321,0.08780500759500055,-0.01862480637903266
10.0,100000,0.4040404040404041,0.10895575389403628,0.0898557095467844,-0.019100044347251877
10.0,100000,0.4141414141414142,0.11148169381403933,0.09190641149856822,-0.019575282315471107
10.0,100000,0.42424242424242425,0.11400763373404235,0.09395711345035206,-0.020050520283690296
10.0,100000,0.43434343434343436,0.1165335736540454,0.09600781540213588,-0.020525758251909526
10.0,100000,0.4444444444444445,0.11905951357404845,0.09805851735391972,-0.02100099622012873
10.0,100000,0.4545454545454546,0.1215854534940515,0.10010921930570355,-0.02147623418834796
10.0,100000,0.4646464646464647,0.12411139341405455,0.10215992125748738,-0.021951472156567176
10.0,100000,0.4747474747474748,0.1266373333340576,0.10421062320927121,-0.022426710124786392
10.0,100000,0.48484848484848486,0.12916327325406063,0.10626132516105503,-0.022901948093005595
10.0,100000,0.494949494949495,0.1316892131740637,0.10831202711283887,-0.02337718606122484
10.0,100000,0.5050505050505051,0.13421515309406676,0.1103627290646227,-0.023852424029444055
10.0,100000,0.5151515151515152,0.1367410930140698,0.11241343101640655,-0.024327661997663258
10.0,100000,0.5252525252525253,0.13926703293407286,0.11446413296819037,-0.02480289996588249
10.0,100000,0.5353535353535354,0.14179297285407588,0.11651483491997418,-0.025278137934101705
10.0,100000,0.5454545454545455,0.14431891277407893,0.11856553687175804,-0.025753375902320894
10.0,100000,0.5555555555555556,0.14684485269408198,0.12061623882354185,-0.026228613870540138
10.0,100000,0.5656565656565657,0.14937079261408504,0.1226669407753257,-0.02670385183875934
10.0,100000,0.5757575757575758,0.15189673253408809,0.12471764272710952,-0.02717908980697857
10.0,100000,0.5858585858585859,0.1544226724540911,0.12676834467889334,-0.027654327775197773
10.0,100000,0.595959595959596,0.1569486123740942,0.12881904663067717,-0.028129565743417018
10.0,100000,0.6060606060606061,0.1594745522940972,0.130869748582461,-0.028604803711636206
10.0,100000,0.6161616161616162,0.1620004922141003,0.13292045053424484,-0.02908004167985545
10.0,100000,0.6262626262626263,0.1645264321341033,0.13497115248602867,-0.02955527964807464
10.0,100000,0.6363636363636365,0.16705237205410636,0.1370218544378125,-0.030030517616293856
10.0,100000,0.6464646464646465,0.1695783119741094,0.13907255638959634,-0.030505755584513072
10.0,100000,0.6565656565656566,0.17210425189411244,0.14112325834138018,-0.03098099355273226
10.0,100000,0.6666666666666667,0.17463019181411552,0.14317396029316398,-0.03145623152095153
10.0,100000,0.6767676767676768,0.17715613173411854,0.14522466224494782,-0.03193146948917072
10.0,100000,0.686868686868687,0.17968207165412162,0.14727536419673168,-0.03240670745738994
10.0,100000,0.696969696969697,0.18220801157412464,0.1493260661485155,-0.03288194542560913
10.0,100000,0.7070707070707072,0.1847339514941277,0.15137676810029932,-0.03335718339382837
10.0,100000,0.7171717171717172,0.18725989141413074,0.15342747005208315,-0.03383242136204759
10.0,100000,0.7272727272727273,0.18978583133413376,0.155478172003867,-0.034307659330266776
10.0,100000,0.7373737373737375,0.19231177125413684,0.1575288739556508,-0.03478289729848605
